artist_name,artist_url,works,work_urls,category
? Concrete Poetry,https://ubu.com/sound/question.html,"Henri Chopin: Espaces et gestes, François Dufrêne: Crirythme pour Bob Cobbing, Bernard Heidsieck: Chapeau, Paul de Vree: Rivièra, Paul de Vree: Het even is een baccarat, Bengt Emil Johnson: 51970 (lecture on ...), Sten Hanson: Subface, Bob Cobbing: Variations on a theme of Tan, Ladislav Novák: Descartes' metamorphosis into liquid, Ernst Jandl: Ode auf N, Ernst Jandl: JEEEEEEEEEEEEEESUSS","https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Henri-Chopin_Espaces-Et-Gestes_Concrete-Poetry_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Francois-Dufrene_Crirythme-Pour-Bob-Cobbing_Concrete-Poetry_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Bernard-Heidsieck_Chapeau_Concrete-Poetry_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Paul-De-Vree_Riviera_Concrete-Poetry_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Paul-De-Vree_Het-Even-Is-Een-Baccarat_Concrete-Poetry_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Bengt-Emil-Johnson_5-1970-Lecture-On_Concrete-Poetry_06.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Sten-Hanson_Subface_Concrete-Poetry_07.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Bob-Cobbing_Variations-On-A-Theme-Of-Tan_Concrete-Poetry_08.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Ladislav-Novak_Descartes-Metamorphosis-Into-Liquid_Concrete-Poetry_09.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Ernst-Jandl_Ode-Auf-N_Concrete-Poetry_10.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Compilations/Concrete-Poetry/Ernst-Jandl_Jeeeeeeeeeeeeeesuss_Concrete-Poetry_11.mp3",Sound
3 ... 2 ... 1 ... ZERO,https://ubu.com/sound/321.html,"13 Gauge: Two For Marion (Part A - Dieter Henkel), 13 Gauge: Two For Marion (Part B - Dieter Henkel), 13 Gauge: Montana Fix, Klatzker-Corsano Duo: Improvisation No. 1, Klatzker-Corsano Duo: Improvisation No. 2, Dieter Henkel: One For 13","https://ubu.com/media/sound/Sackner-Archive-Audio/Contemporary/3-2-1-ZERO/13-Gauge_Two-For-Marion-Part-A_3-2-1-Zero_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Contemporary/3-2-1-ZERO/13-Gauge_Two-For-Marion-Part-B_3-2-1-Zero_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Contemporary/3-2-1-ZERO/13-Gauge_Montana-Fix_3-2-1-Zero_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Contemporary/3-2-1-ZERO/Klatzker-Corsano-Duo_Improvisation-No-1_3-2-1-Zero_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Contemporary/3-2-1-ZERO/Klatzker-Corsano-Duo_Improvisation-No-2_3-2-1-Zero_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Contemporary/3-2-1-ZERO/Dieter-Henkel_One-For-13_3-2-1-Zero_06.mp3",Sound
3ViTrePAIR series,https://ubu.com/sound/3vi.html,"Marco Bertoni + Enrico Serotti ""New Machine Voice"" (from the 3ViTrePAIR Series), California-Italia (from the 3ViTrePAIR Series), Voooxing Poooêtre (from the 3ViTrePAIR Series), Ungheria-Italia (from the 3ViTrePAIR Series), Various Tracks from the 3ViTrePAIR Series, Spagna-Messico-Italia (from the 3ViTrePAIR Series)","https://ubu.com/sound/3vi-bertoni.html, https://ubu.com/sound/3vi-cal-italy.html, https://ubu.com/sound/3vi-vooxing.html, https://ubu.com/sound/3vi-ungheria-italia.html, https://ubu.com/sound/3v.html, https://ubu.com/sound/3vi-spagna.html",Sound
3ViTre dischi di polipoesia,https://ubu.com/sound/3v.html,"Chales Amirkhanian - The putts (1981) 5:19, Luca Gentilini-Lacune (1984) 2:42, Pierre Garnier - SOUFFLE MANIFESTE (1962) 3:22, Vitaldo Conte - Paranoic Red (1983) 2:05, Pietro Porta - Simulazione (1984) 2:31, Bliem Kern - Ke kee kee alahboo (1980) 2:09, Giovanni Fontana - Maschera Mitopoietica (1981) 2:49, Pierre Garnier - ANTHROPOLOGIE (1963) 2:16, Beth Anderson - I wish Iwas single again (1981) 1:14, Enzo Minarelli - POEMA (1977-1985) 5:03, Giovanni Fontana - Poema Larsen (1983) 5:49, Henri Chopin - Chercher(1974) 7:23, L.S.D Band - Lunasoleado (1985) 4:58, Enzo Minarelli - Oscibil (1984) 2:54, Ilse Garnier - -TEM-TEM (1962) 3:11, Ubaldo Giacomucci - Another Mountain Of Needles (1984) 1:15, Federica Manfredini - EX Changes (1984) 1:11, Ilse Garnier, Seiichi Niikuni - THALATTA (1965) 2:00, Santo S.A. - L'air's (1984) 2:16, Maurizio Maldini - Holy Summer (1984) 2:39, Arrigo Lora Totino - Rumore d'ombra (1983) 5:42, Enzo Minarelli-Neotonemi per campane e fruscii (1983) 6:45, Ernest Robson - 17 noises in testicles of an old giant (1980) 1:46","https://ubu.com/media/sound/3vitre/3ViTre_Side-B_Charles_Amirkhanian-T.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A01_Luca_Gentilini-Lac.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A01_Pierre_Garnier-SOU.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A01_Vitaldo_Conte-Para.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A02_Pietro_Porta-Simul.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A02_Bliem_Kern-Ke_kee.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A02_Giovanni_Fontana-M.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A02_Pierre_Garnier-ANT.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A03_Beth_Anderson-I_wi.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A_Enzo_Minarelli-POEMA.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A_Giovanni_Fontana-Poe.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A_Henri_Chopin-Cherche.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B_LSD-Lunasoleado.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B01_Enzo_Minarelli-Osc.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B01_Ilse_Garnier-TEM-T.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B01_Ubaldo_Giacomucci-.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B02_Federica_Manfredin.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B02_Ilse_Garnier_Seiic.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B02_Santo_SA-Lairs.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B03_Maurizio_Maldini-H.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B_Arrigo_Lora_Totino-R.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-B_Enzo_Minarelli-Neoto.mp3, https://ubu.com/media/sound/3vitre/3ViTre_Side-A01_Ernest_Robson-17n.mp3",Sound
3Vi: Aldino Leoni,https://ubu.com/sound/3vi-canto.html,"3ViTrePAIR series, Vi Sembrava di Sognare 3:44, Lasciamolo Sprofondare 2:37, Voci Sulle Corde 2:10, Bisanzio 1983 2:08, Nella Terra di Europa 1:57, Variazione del Tempo e Aggettivi 3:08, Mattutino 2:40, All'amica Amante 2:29, Frammento 1:04, Dall'abisso 0:50, Laddove Malinconica Creature 7:05, Istorica 4:50","https://ubu.com/sound/3vi.html, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Vi-Sembrava-Di-Sognare_Poesia-In-Canto_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Lasciamolo-Sprofondare_Poesia-In-Canto_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Aldino-Leoni_Voci-Sulle-Corde_Poesia-In-Canto_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Bisanzio-1983_Poesia-In-Canto_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Nella-Terra-Di-Europa_Poesia-In-Canto_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Variazione-Del-Tempo-E-Aggettivi_Poesia-In-Canto_06.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Mattutino_Poesia-In-Canto_07.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Allamica-Amante_Poesia-In-Canto_08.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Frammento_Poesia-In-Canto_09.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Dallabisso_Poesia-In-Canto_10.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Laddove-Malinconica-Creature_Poesia-In-Canto_12.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Leoni-Aldino/Poesia-In-Canto/Aldino-Leoni_Istorica_Poesia-In-Canto_13.mp3",Sound
3Vi: Italia-Canada,https://ubu.com/sound/3vi-ital-canada.html,"3ViTrePAIR series, Pierre-André Arcand ""Le Mort d'Antoin Artaud"", Jean-Claude Gagnon ""À gaga gougou"", Alain-Martin Richard ""Régurgiter du Barbare"", Richard Martel ""Capitaly"", Gilles Arteau ""D d de Pas Ne Tu Rien"", Gian Paolo Roffi ""Per Ipotesi"", Enzo Minarelli ""Poema a Vita"", Corrado Cicciarelli ""Iomondo"", Massimo Mori ""Futuro Anteriore"", Luigi Pasotelli ""The Paddle Song - Non Stop Horse""","https://ubu.com/sound/3vi.html, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Pierre-Andre-Arcand_Le-Mort-Dantoin-Artaud_Italia-Canada_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Jean-Claude-Gagnon_A-Gaga-Gougou_Italia-Canada_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Alain-Martin-Richard_Regurgiter-Du-Barbare_Italia-Canada_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Richard-Martel_Capitaly_Italia-Canada_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Gilles-Arteau_D-D-De-Pas-Ne-Tu-Rien_Italia-Canada_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Gian-Paolo-Roffi_Per-Ipotesi_Italia-Canada_06.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Enzo-Minarelli_Poema-A-Vita_Italia-Canada_07.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Corrado-Cicciarelli_Iomondo_Italia-Canada_08.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Massimo-Mori_Futuro-Anteriore_Italia-Canada_09.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Italia-Canada/Luigi-Pasotelli_The-Paddle-Song-Non-Stop-Horse_Italia-Canada_10.mp3",Sound
3Vi: California-Italy,https://ubu.com/sound/3vi-cal-italy.html,"3ViTrePAIR series, Larry Wendt: Gene Cat Toad, Harry Polkinhorn: Change, Harry Polkinhorn: Machine, Marina La Palma: Ridi Ridi, Marina La Palma: Apollo, Carlo M. Conti: Berlin Tut Gut, Peter Frank: Irk, Jerome Rothenberg: A Glass Tube Ecstasy for Hugo Ball, Jerome Rothenberg: London Onion, Enzo Minarelli: Con Sonanti, Guillermo Gómez-Peña: a. Border-X-Frontera, Guillermo Gómez-Peña: b. Border-X-Frontera, Antonello Ricci: Frammento Radio sull'Essenza Poetica, Paul Vangelisti: a. Rime, Paul Vangelisti: b. Rime","https://ubu.com/sound/3vi.html, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Larry-Wendt_Gene-Cat-Toad_California-Italia_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Harry-Polkinhorn_Change_California-Italia_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Harry-Polkinhorn_Machine_California-Italia_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Marina-La-Palma_Ridi-Ridi_California-Italia_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Marina-La-Palma_Apollo_California-Italia_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Carlo-M-Conti_Berlin-Tut-Gut_California-Italia_06.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Peter-Frank_Irk_California-Italia_07.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Jerome-Rothenberg_A-Glass-Tube-Ecstasy-For-Hugo-Ball_California-Italia_08.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Jerome-Rothenberg_London-Onion_California-Italia_09.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Enzo-Minarelli_Con-Sonanti_California-Italia_10.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Guillermo-Gomez-Pena_a-Border-X-Frontera_California-Italia_11.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Guillermo-Gomez-Pena_b-Border-X-Frontera_California-Italia_12.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Antonello-Ricci_Frammento-Radio-sullEssenza-Poetica_California-Italia_13.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Paul-Vangelisti_a-Rime_California-Italia_14.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/California-Italia/Paul-Vangelisti_b-Rime_California-Italia_15.mp3",Sound
3Vi: Ungheria-Italia,https://ubu.com/sound/3vi-ungheria-italia.html,"3ViTrePAIR series, Szkárosi + Konnektor + Bernáth(y): Horrible Days, Szkárosi + Konnektor + Bernáth(y): One-two-three-, Szkárosi + Konnektor + Bernáth(y): The Black Piano, Szkárosi + Konnektor + Bernáth(y): Her Monroeness, György Galántai: Democracy, Revolution, Freedom, BP. Service (leader: György BP. Szabó): Conserved Soundprint, András Petöcz: Touch, Béla Kelényi: Respiration Exercise, Gábor Tóth: And Yet You Won't Rise Again, Maurizio Nannucci: Cut-Music Number 9 (third version), Enzo Minarelli: Poema a Colori, Giuliano Zosi: Frammento da ""Phonos"" n.2, Lello Voce: Los Viejos Postmodernistas","https://ubu.com/sound/3vi.html, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Szkarosi-Konnektor-Bernathy_Horrible-Days_Ungheria-Italia_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Szkarosi-Konnektor-Bernathy_One-Two-Three_Ungheria-Italia_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Szkarosi-Konnektor-Bernathy_The-Black-Piano_Ungheria-Italia_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Szkarosi-Konnektor-Bernathy_Her-Monroeness_Ungheria-Italia_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Gyorgy-Galantai_Democracy-Revolution-Freedom_Ungheria-Italia_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Bp-Service_Conserved-Soundprint_Ungheria-Italia_06.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Andras-Petocz_Touch_Ungheria-Italia_07.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Bela-Kelenyi_Respiration-Exercise_Ungheria-Italia_08.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Gabor-Toth_And-Yet-You-Wont-Rise-Again_Ungheria-Italia_09.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Maurizio-Nannucci_Cut-Music-Number-9-Third-Version_Ungheria-Italia_10.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Enzo-Minarelli_Poema-A-Colori_Ungheria-Italia_11.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Giuliano-Zosi_Frammento-Da-Phonos-n-2_Ungheria-Italia_12.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Ungheria-Italia/Lello-Voce_Los-Viejos-Postmodernistas_Ungheria-Italia_13.mp3",Sound
3Vi: Voooxing Poooêtre,https://ubu.com/sound/3vi-vooxing.html,"3ViTrePAIR series, Bernard Heidsieck: Canal Street n. 3, Bernard Heidsieck: Canal Street n. 9, Rod Summers: Rat Sense, Klaus Groh: Dadadance, Klaus Groh: 100 Dropss, Enzo Minarelli: a. Sinergicoral, Enzo Minarelli: b. Sinergicoral, Enzo Minarelli: Lablingdent, Giovanni Fontana: Pomeridiana, Agostino Contò: Don'ana, Agostino Contò: Quarantoto, Agostino Contò: Nina ò, Richard Kostelanetz: Dialogue 2°, Richard Kostelanetz: Excelsior, Adriano Spatola: Seduction Seducteur, Vladan Radovanovic: Recorded, Grupo Texto Poetico: Un Cierto Tiempo de Desconcierto, Peter R. Meyer: Ektoplasma, Tibor Papp: Pogany Ritmusok, Santo S.A. (A. Orsatti, P. Manservigi, R. Salani): C.S. (n. 2), Giovanni A. Bignone: Maschinengeweh, Jean Jacques Lebel: P.o.e.m.e.T.r.o.u.v.é (n. 2)","https://ubu.com/sound/3vi.html, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Bernard-Heidsieck_Canal-Street-N-3_Voooxing-Poooetre_01.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Bernard-Heidsieck_Canal-Street-N-9_Voooxing-Poooetre_02.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Rod-Summers_Rat-Sense_Voooxing-Poooetre_03.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Klaus-Groh_Dadadance_Voooxing-Poootre_04.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Klaus-Groh_100-Drops_Voooxing-Poooetre_05.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Enzo-Minarelli_A-Sinergicoral_Voooxing-Poooetre_06.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Enzo-Minarelli_B-Sinergicoral_Voooxing-Poooetre_07.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Enzo-Minarelli_Lablingdent_Voooxing-Poooetre_08.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Giovanni-Fontana_Pomeridiana_Voooxing-Poooetre_09.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Agostino-Conto_Donana_Voooxing-Poooetre_10.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Agostino-Conto_Quarantoto_Voooxing-Poooetre_11.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Agostino-Conto_Nina-O_Voooxing-Poooetre_12.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Richard-Kostelanetz_Dialogue-2_Voooxing-Poooetre_13.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Richard-Kostelanetz_Excelsior_Voooxing-Poooetre_14.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Adriano-Spatola_Seduction-Seducteur_Voooxing-Poooetre_15.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Vladan-Radovanovic_Recorded_Voooxing-Poooetre_16.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Grupo-Texto-Poetico_Un-Cierto-Tiempo-De-Desconcierto_Voooxing-Poooetre_17.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Peter-R-Meyer_Ektoplasma_Voooxing-Poooetre_18.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Tibor-Papp_Pogany-Ritmusok_Voooxing-Poooetre_19.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Santo-SA-A-Orsatti-P-Manservigi-R-Salani_CS-N-2_Voooxing-Poooetre_20.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Giovanni-A-Bignone_Maschinengewehr_Voooxing-Poooetre_21.mp3, https://ubu.com/media/sound/Sackner-Archive-Audio/Polipoetry/3VitrePair/Voooxing-Poooetre/Jean-Jacques-Lebel_POEMETROUVE-N-2_Voooxing-Poooetre_22.mp3",Sound
8-Bit Operators,https://ubu.com/sound/8bit.html,"1. ""The Robots (Die Roboter)"" Bacalao 3:29, 2. ""Pocket Calculator"" Glomag 3:54, 3. ""Computer Love"" Covox 3:40, 4. ""Showroom Dummies"" Role Model 3:59, 5. ""The Model"" Nullsleep 3:57, 6. ""Radioactivity"" David E.Sugar 4:12, 7. ""Kristallo"" Oliver Wittchow 4:22, 8. ""Spacelab"" 8-Bit Weapon 4:54, 9. ""Computer World (Computerwelt)"" firestARTer 4:26, 10. ""Electric Café"" Neotericz 4:03, 11. ""Trans-Europe Express"" Receptors 4:02, 12. ""Tanzmusik"" Herbert Weixelbaum 3:58, 13. ""It's More Fun to Compute"" Bubblyfish 3:52, 14. ""Antenna"" Bit Shifter 3:48","https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_01-The-Robots-Die-Roboter.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_02-Pocket-Calculator.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_03-Computer-Love.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_04-Showroom-Dummies.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_05-The-Model.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_06-Radioactivity.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_07-Kirstallo.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_08-Spacelab.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_09-Computer-World-Computerwelt.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_10-Electric-Cafe.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_11-Trans-Europe-Express.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_12-Tanzmusizik.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_13-It's-More-Fun-To-Compute.mp3, https://ubu.com/media/sound/8bit/8-Bit-Operators_Kraftwerk-Tribute_14-Antenna.mp3",Sound
